央视,#genre#
CGTN,rtsp://115.233.41.137/PLTV/88888913/224/3221228108/10000100000000060000000002707382_0.smil
CGTN西语,rtsp://115.233.41.137/PLTV/88888913/224/3221229180/54864297.smil
CGTN法语,rtsp://115.233.41.137/PLTV/88888913/224/3221229271/54864338.smil
CGTN阿语,rtsp://115.233.41.137/PLTV/88888913/224/3221229158/54864306.smil
CGTN俄语,rtsp://115.233.41.137/PLTV/88888913/224/3221229162/54864352.smil
地方,#genre#
浙江钱江都市,rtsp://115.233.41.137/PLTV/88888913/224/3221229041/10000100000000060000000004799139_0.smil
浙江经济生活,rtsp://115.233.41.137/PLTV/88888913/224/3221229115/10000100000000060000000004799165_0.smil
浙江教科影视,rtsp://115.233.41.137/PLTV/88888913/224/3221229111/10000100000000060000000004799164_0.smil
浙江民生休闲,rtsp://115.233.41.137/PLTV/88888913/224/3221229045/10000100000000060000000004799162_0.smil
浙江公共新闻,rtsp://115.233.41.137/PLTV/88888913/224/3221229034/10000100000000060000000004799161_0.smil
浙江少儿,rtsp://115.233.41.137/PLTV/88888913/224/3221229030/10000100000000060000000004799160_0.smil
之江纪录,rtsp://115.233.41.137/PLTV/88888913/224/3221229409/92749537.smil
杭州综合,rtsp://115.233.41.137/PLTV/88888913/224/3221229189/52579603.smil
杭州西湖明珠,rtsp://115.233.41.137/PLTV/88888913/224/3221229152/52579496.smil
杭州生活,rtsp://115.233.41.137/PLTV/88888913/224/3221229156/52579500.smil
杭州影视,rtsp://115.233.41.137/PLTV/88888913/224/3221229142/52579609.smil
杭州青少体育,rtsp://115.233.41.137/PLTV/88888913/224/3221229217/57567111.smil
杭州导视,rtsp://115.233.41.137/PLTV/88888913/224/3221229263/52579543.smil
临平新闻,http://{{your_udpxy_address}}/udp/233.50.202.32:5140
余杭新闻,http://{{your_udpxy_address}}/udp/233.50.201.159:5140
宁波TV1,http://{{your_udpxy_address}}/udp/233.50.201.168:5140
宁波TV2,http://{{your_udpxy_address}}/udp/233.50.201.178:5140
宁波TV3,http://{{your_udpxy_address}}/udp/233.50.201.179:5140
宁波TV4,http://{{your_udpxy_address}}/udp/233.50.201.180:5140
温州新闻综合,http://{{your_udpxy_address}}/udp/233.50.201.87:5140
绍兴新闻综合,http://{{your_udpxy_address}}/udp/233.50.201.156:5140
湖州新闻综合,http://{{your_udpxy_address}}/udp/233.50.201.158:5140
金华新闻,http://{{your_udpxy_address}}/udp/233.50.201.161:5140
丽水新闻综合,http://{{your_udpxy_address}}/udp/233.50.201.162:5140
嘉兴新闻综合,http://{{your_udpxy_address}}/udp/233.50.201.163:5140
桐乡新闻综合,http://{{your_udpxy_address}}/udp/233.50.201.169:5140
衢州新闻综合,http://{{your_udpxy_address}}/udp/233.50.202.11:5140
衢州公共,http://{{your_udpxy_address}}/udp/233.50.202.12:5140
付费,#genre#
欢笑剧场,rtsp://115.233.41.137/PLTV/88888913/224/3221229240/72486906.smil
都市剧场,rtsp://115.233.41.137/PLTV/88888913/224/3221229244/72486950.smil
法制天地,rtsp://115.233.41.137/PLTV/88888913/224/3221229323/72486984.smil
动漫秀场,rtsp://115.233.41.137/PLTV/88888913/224/3221229236/72486907.smil
游戏风云,rtsp://115.233.41.137/PLTV/88888913/224/3221229289/72488480.smil
乐游,rtsp://115.233.41.137/PLTV/88888913/224/3221229285/72486834.smil
金色学堂,rtsp://115.233.41.137/PLTV/88888913/224/3221229315/72486946.smil
生活时尚,rtsp://115.233.41.137/PLTV/88888913/224/3221229277/72486909.smil
茶频道,rtsp://115.233.41.137/PLTV/88888913/224/3221229281/72486910.smil
快乐垂钓,rtsp://115.233.41.137/PLTV/88888913/224/3221229327/72487516.smil
睛彩竞技,rtsp://115.233.41.137/PLTV/88888913/224/3221229408/94611403.smil
睛彩篮球,rtsp://115.233.41.137/PLTV/88888913/224/3221229412/94611355.smil
睛彩青少,rtsp://115.233.41.137/PLTV/88888913/224/3221229411/94611457.smil
睛彩广场舞,rtsp://115.233.41.137/PLTV/88888913/224/3221229410/94611402.smil
其他,#genre#
东方财经,http://{{your_udpxy_address}}/udp/233.50.200.177:5140
第一财经,http://{{your_udpxy_address}}/udp/233.50.200.125:5140
环球旅游,rtsp://115.233.41.137/PLTV/88888913/224/3221229415/103499735.smil
广播,#genre#
浙江之声广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228218/10000100000000060000000003102657_0.smil
浙江新闻广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228332/10000100000000060000000003102947_0.smil
浙江经济广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228223/10000100000000060000000003102668_0.smil
浙江音乐调频,rtsp://115.233.41.137/PLTV/88888913/224/3221228228/10000100000000060000000003102672_0.smil
浙江交通之声,rtsp://115.233.41.137/PLTV/88888913/224/3221228265/10000100000000060000000003102675_0.smil
浙江旅游之声,rtsp://115.233.41.137/PLTV/88888913/224/3221228327/10000100000000060000000003102677_0.smil
浙江城市之声,rtsp://115.233.41.137/PLTV/88888913/224/3221228291/10000100000000060000000003102680_0.smil
浙江民生资讯广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228233/10000100000000060000000003102678_0.smil
