频道名称,tvg-id,tvg-name,Logo链接,频道分类,播放地址,单播ID,分辨率
CCTV1综合,CCTV1,CCTV1,CCTV1.png,央视,233.50.201.118:5140,4646,无视频流
CCTV2财经,CCTV2,CCTV2,CCTV2.png,央视,233.50.201.119:5140,4704,无视频流
CCTV3综艺,CCTV3,CCTV3,CCTV3.png,央视,233.50.201.196:5140,5376344,无视频流
CCTV4中文国际,CCTV4,CCTV4,CCTV4.png,央视,233.50.202.38:5140,,无视频流
CCTV5体育,CCTV5,CCTV5,CCTV5.png,央视,233.50.201.197:5140,5376348,无视频流
CCTV5+体育赛事,CCTV5+,CCTV5+,CCTV5+.png,央视,233.50.201.220:5140,52583203,无视频流
CCTV6电影,CCTV6,CCTV6,CCTV6.png,央视,233.50.201.198:5140,5376347,无视频流
CCTV7国防军事,CCTV7,CCTV7,CCTV7.png,央视,233.50.201.120:5140,4709,无视频流
CCTV8电视剧,CCTV8,CCTV8,CCTV8.png,央视,233.50.201.199:5140,5376346,无视频流
CCTV9纪录,CCTV9,CCTV9,CCTV9.png,央视,233.50.201.121:5140,4708,无视频流
CCTV10科教,CCTV10,CCTV10,CCTV10.png,央视,233.50.201.122:5140,4707,无视频流
CCTV11戏曲,CCTV11,CCTV11,CCTV11.png,央视,233.50.202.39:5140,,无视频流
CCTV12社会与法,CCTV12,CCTV12,CCTV12.png,央视,233.50.201.123:5140,4706,无视频流
CCTV13新闻,CCTV13,CCTV13,CCTV13.png,央视,233.50.201.246:5140,52628614,无视频流
CCTV14少儿,CCTV14,CCTV14,CCTV14.png,央视,233.50.201.124:5140,4705,无视频流
CCTV15音乐,CCTV15,CCTV15,CCTV15.png,央视,233.50.202.40:5140,,无视频流
CCTV16奥林匹克,CCTV16,CCTV16,CCTV16.png,央视,233.50.201.192:5140,70526245,无视频流
CCTV17农业农村,CCTV17,CCTV17,CCTV17.png,央视,233.50.200.113:5140,,无视频流
CCTV16奥林匹克4K,CCTV16,CCTV16,CCTV16.png,4K超高清,233.50.201.63:5140,74036078,无视频流
北京卫视4K,北京卫视,北京卫视,北京卫视4K.png,4K超高清,233.50.202.100:5140,128124468,无视频流
广东卫视4K,广东卫视,广东卫视,广东卫视4K.png,4K超高清,233.50.202.101:5140,131699759,无视频流
深圳卫视4K,深圳卫视,深圳卫视,深圳卫视4K.png,4K超高清,233.50.202.102:5140,131699789,无视频流
欢笑剧场4K,欢笑剧场,欢笑剧场,欢笑剧场4K.png,4K超高清,233.50.200.52:5140,,无视频流
BesTV-1,BesTV-1,BesTV-1,BesTV.png,4K超高清,233.50.200.182:5140,,无视频流
BesTV-2,BesTV-2,BesTV-2,BesTV.png,4K超高清,233.50.200.183:5140,,无视频流
BesTV-3,BesTV-3,BesTV-3,BesTV.png,4K超高清,233.50.200.185:5140,,无视频流
浙江卫视,浙江卫视,浙江卫视,浙江卫视.png,卫视,233.50.201.100:5140,3844,无视频流
深圳卫视,深圳卫视,深圳卫视,深圳卫视.png,卫视,233.50.201.101:5140,3849,无视频流
广东卫视,广东卫视,广东卫视,广东卫视.png,卫视,233.50.201.102:5140,3845,无视频流
湖南卫视,湖南卫视,湖南卫视,湖南卫视.png,卫视,233.50.201.103:5140,3848,无视频流
天津卫视,天津卫视,天津卫视,天津卫视.png,卫视,233.50.201.104:5140,3846,无视频流
山东卫视,山东卫视,山东卫视,山东卫视.png,卫视,233.50.201.105:5140,3847,无视频流
江苏卫视,江苏卫视,江苏卫视,江苏卫视.png,卫视,233.50.201.106:5140,4345,无视频流
北京卫视,北京卫视,北京卫视,北京卫视.png,卫视,233.50.201.107:5140,4344,无视频流
纪实科教,纪实科教,纪实科教,纪实科教.png,卫视,233.50.202.34:5140,110036299,无视频流
四川卫视,四川卫视,四川卫视,四川卫视.png,卫视,233.50.201.139:5140,5375991,无视频流
河北卫视,河北卫视,河北卫视,河北卫视.png,卫视,233.50.201.140:5140,5375992,无视频流
辽宁卫视,辽宁卫视,辽宁卫视,辽宁卫视.png,卫视,233.50.201.141:5140,5375989,无视频流
贵州卫视,贵州卫视,贵州卫视,贵州卫视.png,卫视,233.50.201.142:5140,5375988,无视频流
重庆卫视,重庆卫视,重庆卫视,重庆卫视.png,卫视,233.50.201.143:5140,5375987,无视频流
河南卫视,河南卫视,河南卫视,河南卫视.png,卫视,233.50.201.144:5140,5375986,无视频流
江西卫视,江西卫视,江西卫视,江西卫视.png,卫视,233.50.201.145:5140,5375985,无视频流
东南卫视,东南卫视,东南卫视,东南卫视.png,卫视,233.50.201.146:5140,5375984,无视频流
安徽卫视,安徽卫视,安徽卫视,安徽卫视.png,卫视,233.50.201.113:5140,4626,无视频流
湖北卫视,湖北卫视,湖北卫视,湖北卫视.png,卫视,233.50.201.114:5140,4625,无视频流
黑龙江卫视,黑龙江卫视,黑龙江卫视,黑龙江卫视.png,卫视,233.50.201.115:5140,4624,无视频流
东方卫视,东方卫视,东方卫视,东方卫视.png,卫视,233.50.201.125:5140,4744,无视频流
甘肃卫视,甘肃卫视,甘肃卫视,甘肃卫视.png,卫视,233.50.200.163:5140,,无视频流
海南卫视,海南卫视,海南卫视,海南卫视.png,卫视,233.50.200.165:5140,,无视频流
广西卫视,广西卫视,广西卫视,广西卫视.png,卫视,233.50.200.136:5140,,无视频流
云南卫视,云南卫视,云南卫视,云南卫视.png,卫视,233.50.200.115:5140,,无视频流
吉林卫视,吉林卫视,吉林卫视,吉林卫视.png,卫视,233.50.202.42:5140,,无视频流
三沙卫视,三沙卫视,三沙卫视,三沙卫视.png,卫视,233.50.200.175:5140,,无视频流
内蒙古卫视,内蒙古卫视,内蒙古卫视,内蒙古卫视.png,卫视,233.50.201.148:5140,,无视频流
青海卫视,青海卫视,青海卫视,青海卫视.png,卫视,233.50.201.65:5140,2784,无视频流
西藏卫视,西藏卫视,西藏卫视,西藏卫视.png,卫视,233.50.202.43:5140,134307491,无视频流
陕西卫视,陕西卫视,陕西卫视,陕西卫视.png,卫视,233.50.201.59:5140,2818,无视频流
兵团卫视,兵团卫视,兵团卫视,兵团卫视.png,卫视,233.50.202.44:5140,134307529,无视频流
山西卫视,山西卫视,山西卫视,山西卫视.png,卫视,233.50.201.51:5140,2816,无视频流
宁夏卫视,宁夏卫视,宁夏卫视,宁夏卫视.png,卫视,233.50.202.45:5140,134307485,无视频流
新疆卫视,新疆卫视,新疆卫视,新疆卫视.png,卫视,233.50.202.46:5140,134307256,无视频流
延边卫视,延边卫视,延边卫视,延边卫视.png,卫视,233.50.200.184:5140,,无视频流
中国教育1台,中国教育1台,中国教育1台,CETV1.png,卫视,233.50.200.169:5140,,无视频流
中国教育4台,中国教育4台,中国教育4台,CETV4.png,卫视,233.50.200.162:5140,,无视频流
凤凰中文,凤凰中文,凤凰中文,凤凰中文.png,卫视,233.50.202.35:5140,110077576,无视频流
凤凰资讯,凤凰资讯,凤凰资讯,凤凰资讯.png,卫视,233.50.202.36:5140,110077526,无视频流
卡酷少儿,卡酷少儿,卡酷少儿,卡酷少儿.png,卫视,233.50.202.33:5140,110036416,无视频流
哈哈炫动,哈哈炫动,哈哈炫动,哈哈炫动.png,卫视,233.50.200.167:5140,,无视频流
金鹰卡通,金鹰卡通,金鹰卡通,金鹰卡通.png,卫视,233.50.201.73:5140,59229691,无视频流
CGTN,CGTN,CGTN,CGTN.png,国际,233.50.201.126:5140,4784,无视频流
CGTN西班牙语,CGTN西语,CGTN西语,CGTN西班牙语.png,国际,233.50.201.36:5140,54864296,无视频流
CGTN法语,CGTN法语,CGTN法语,CGTN法语.png,国际,233.50.201.37:5140,54864337,无视频流
CGTN阿拉伯语,CGTN阿语,CGTN阿语,CGTN阿拉伯语.png,国际,233.50.201.38:5140,54864305,无视频流
CGTN俄罗斯语,CGTN俄语,CGTN俄语,CGTN俄罗斯语.png,国际,233.50.201.39:5140,54864351,无视频流
钱江频道,浙江钱江都市,浙江钱江都市,钱江频道.png,地方,233.50.201.132:5140,5375944,无视频流
浙江经济生活,浙江经济生活,浙江经济生活,浙江经济生活.png,地方,233.50.201.133:5140,5375950,无视频流
